"Dato";"Valør";"Tekst";"";"Beløb";"Saldo";"Egen bilagsreference"
"27.06.2024";"27.06.2024";"Fødevarestyrelsen 24077081Fakturanr";"";"-611,00";"334.392,89";""
"27.06.2024";"27.06.2024";"DK  3257668 108645141050 26.06";"";"2.150,00";"336.542,89";""
"27.06.2024";"27.06.2024";"Wolt Danmark DRIVE";"";"-3.475,00";"333.067,89";""
"27.06.2024";"27.06.2024";"Overførsel                          -SE MEDD.";"";"11.359,40";"344.427,29";""
"27.06.2024";"27.06.2024";"Nets 0152 8822884                   -SE MEDD.";"";"4.570,77";"348.998,06";""
"27.06.2024";"27.06.2024";"Løn";"";"-94.804,10";"254.193,96";""
"27.06.2024";"27.06.2024";"Overførsel";"";"-213,51";"253.980,45";""
"28.06.2024";"28.06.2024";"DK  3257668 108645141250 27.06";"";"3.102,00";"257.082,45";""
"28.06.2024";"28.06.2024";"DK  3257668 417920800000 27.06";"";"996,00";"258.078,45";""
"28.06.2024";"28.06.2024";"Nets 0153 8822884                   -SE MEDD.";"";"2.602,12";"260.680,57";""
"28.06.2024";"28.06.2024";"Fra Tania Damsgaard                 -SE MEDD.";"";"250,00";"260.930,57";""
"28.06.2024";"28.06.2024";"ATP";"";"-5.247,00";"255.683,57";""
"28.06.2024";"28.06.2024";"Mealo: 20629                        -SE MEDD.";"";"22.272,51";"277.956,08";""
"28.06.2024";"28.06.2024";"Omkostninger, Netbank og Mobilbank";"";"-1.089,50";"276.866,58";""
"28.06.2024";"28.06.2024";"Omkostninger, Netbank og Mobilbank";"";"-35,00";"276.831,58";""
"28.06.2024";"28.06.2024";"Omkostninger transaktioner";"";"-74,25";"276.757,33";""
"28.06.2024";"28.06.2024";"Grundbeløb, kvartalsafgift";"";"-400,00";"276.357,33";""
"28.06.2024";"28.06.2024";"35 Omkostninger overførselsservice";"";"-26,25";"276.331,08";""
"01.07.2024";"01.07.2024";"VD 00062 INCO CC GLOSTRUP A/S";"";"-3.747,56";"272.583,52";""
"01.07.2024";"01.07.2024";"VD 00063 COOP KVICKLY TAASTRUP";"";"-113,90";"272.469,62";""
"01.07.2024";"01.07.2024";"BS REMONDIS A/S";"";"-3.638,88";"268.830,74";""
"01.07.2024";"01.07.2024";"BS ATP - SAMLET BETALING";"";"-7.251,14";"261.579,60";""
"01.07.2024";"01.07.2024";"BS ONLINEPOS APS";"";"-2.061,25";"259.518,35";""
"01.07.2024";"01.07.2024";"BS NRGI ELHANDEL A/S";"";"-10.228,10";"249.290,25";""
"01.07.2024";"01.07.2024";"BS EJD. 643 TAASTRUP HOVEDGADE 64";"";"-36.389,19";"212.901,06";""
"01.07.2024";"01.07.2024";"DK  3257668 108645141450 28.06";"";"3.788,00";"216.689,06";""
"01.07.2024";"01.07.2024";"DK  3257668 418020800000 28.06";"";"1.119,00";"217.808,06";""
"01.07.2024";"01.07.2024";"LS 46868 THAI FRESH IMPORT/EKSPORT";"";"-6.877,50";"210.930,56";""
"01.07.2024";"01.07.2024";"DK  3257668 108645141650 29.06";"";"2.228,00";"213.158,56";""
"01.07.2024";"01.07.2024";"DK  3257668 108645141850 30.06";"";"2.919,00";"216.077,56";""
"01.07.2024";"01.07.2024";"DK  3257668 418120800000 29.06";"";"745,00";"216.822,56";""
"01.07.2024";"01.07.2024";"DK  3257668 418220800000 30.06";"";"521,00";"217.343,56";""
"02.07.2024";"02.07.2024";"Overførsel                          -SE MEDD.";"";"12.303,90";"229.647,46";""
"02.07.2024";"02.07.2024";"BS TELENOR A/S";"";"-441,19";"229.206,27";""
"02.07.2024";"02.07.2024";"Nets 0154 8822884                   -SE MEDD.";"";"4.727,27";"233.933,54";""
"02.07.2024";"02.07.2024";"Nets 0155 8822884                   -SE MEDD.";"";"3.711,61";"237.645,15";""
"03.07.2024";"03.07.2024";"PBS DK Abon 3257668 010624-300624";"";"-445,06";"237.200,09";""
"03.07.2024";"03.07.2024";"DK  3257668 108645142150 02.07";"";"3.218,00";"240.418,09";""
"03.07.2024";"03.07.2024";"Nets 0156 8822884                   -SE MEDD.";"";"5.829,10";"246.247,19";""
"03.07.2024";"03.07.2024";"VD 00064 INCO CC GLOSTRUP A/S";"";"-3.838,44";"242.408,75";""
"04.07.2024";"04.07.2024";"DK  3257668 108645142350 03.07";"";"2.208,00";"244.616,75";""
"04.07.2024";"04.07.2024";"LS 46868 THAI FRESH IMPORT/EKSPORT";"";"-5.667,50";"238.949,25";""
"04.07.2024";"04.07.2024";"Nets 0157 8822884                   -SE MEDD.";"";"2.715,86";"241.665,11";""
"04.07.2024";"04.07.2024";"VD 00065 Selfmade Roskilde";"";"-626,40";"241.038,71";""
"05.07.2024";"05.07.2024";"LS 21865 CARLSBERG DANMARK A/S";"";"-875,00";"240.163,71";""
"05.07.2024";"05.07.2024";"DK  3257668 108645142550 04.07";"";"4.302,00";"244.465,71";""
"05.07.2024";"05.07.2024";"DK  3257668 418620800000 04.07";"";"563,00";"245.028,71";""
"05.07.2024";"05.07.2024";"LS 44733 DERMAN PACK APS";"";"-2.753,73";"242.274,98";""
"05.07.2024";"05.07.2024";"LS 47422 DAKA DENMARK A/S";"";"-723,26";"241.551,72";""
"05.07.2024";"05.07.2024";"Nets 0158 8822884                   -SE MEDD.";"";"3.785,61";"245.337,33";""
"05.07.2024";"05.07.2024";"Mealo: 20737                        -SE MEDD.";"";"25.910,88";"271.248,21";""
"08.07.2024";"08.07.2024";"VD 00067 IKEA TAASTRUP HFB ECO";"";"-622,00";"270.626,21";""
"08.07.2024";"08.07.2024";"VD 00066 INCO CC GLOSTRUP A/S";"";"-4.142,39";"266.483,82";""
"08.07.2024";"08.07.2024";"DK  3257668 108645142750 05.07";"";"1.935,00";"268.418,82";""
"08.07.2024";"08.07.2024";"DK  3257668 418720800000 05.07";"";"160,00";"268.578,82";""
"08.07.2024";"08.07.2024";"LS 46868 THAI FRESH IMPORT/EKSPORT";"";"-3.946,25";"264.632,57";""
"08.07.2024";"08.07.2024";"DK  3257668 108645142950 06.07";"";"4.250,40";"268.882,97";""
"08.07.2024";"08.07.2024";"DK  3257668 108645143150 07.07";"";"2.334,00";"271.216,97";""
"08.07.2024";"08.07.2024";"DK  3257668 418820800000 06.07";"";"1.283,00";"272.499,97";""
"08.07.2024";"08.07.2024";"DK  3257668 418920800000 07.07";"";"600,00";"273.099,97";""
"08.07.2024";"08.07.2024";"VD 00069 INCO CC GLOSTRUP A/S";"";"-612,48";"272.487,49";""
"08.07.2024";"08.07.2024";"VD 00068 INCO CC GLOSTRUP A/S";"";"-2.737,04";"269.750,45";""
"09.07.2024";"09.07.2024";"Overførsel                          -SE MEDD.";"";"12.731,05";"282.481,50";""
"09.07.2024";"09.07.2024";"Nets 0159 8822884                   -SE MEDD.";"";"2.783,22";"285.264,72";""
"09.07.2024";"09.07.2024";"Nets 0160 8822884                   -SE MEDD.";"";"4.086,19";"289.350,91";""
"10.07.2024";"10.07.2024";"LS 21865 CARLSBERG DANMARK A/S";"";"-6.921,51";"282.429,40";""
"10.07.2024";"10.07.2024";"DK  3257668 108645143450 09.07";"";"2.322,00";"284.751,40";""
"10.07.2024";"10.07.2024";"DK  3257668 419120800000 09.07";"";"1.569,00";"286.320,40";""
"10.07.2024";"10.07.2024";"Nets 0161 8822884                   -SE MEDD.";"";"11.297,38";"297.617,78";""
"10.07.2024";"10.07.2024";"A-skat";"";"-43.049,00";"254.568,78";""
"10.07.2024";"10.07.2024";"VD 00070 INCO CC GLOSTRUP A/S";"";"-3.698,90";"250.869,88";""
"11.07.2024";"11.07.2024";"Afdrag lån Jarvinen";"";"-10.000,00";"240.869,88";""
"11.07.2024";"11.07.2024";"E-conomic";"";"-933,75";"239.936,13";""
"11.07.2024";"11.07.2024";"DK  3257668 108645143650 10.07";"";"2.521,30";"242.457,43";""
"11.07.2024";"11.07.2024";"DK  3257668 419220800000 10.07";"";"889,00";"243.346,43";""
"11.07.2024";"11.07.2024";"LS 46868 THAI FRESH IMPORT/EKSPORT";"";"-4.216,25";"239.130,18";""
"11.07.2024";"11.07.2024";"Nets 0162 8822884                   -SE MEDD.";"";"1.004,91";"240.135,09";""
"12.07.2024";"12.07.2024";"Brøndbyvester VVS";"";"-1.385,94";"238.749,15";""
"12.07.2024";"12.07.2024";"Taastrup Erhvervsforening";"";"-732,50";"238.016,65";""
"12.07.2024";"12.07.2024";"DK  3257668 108645143850 11.07";"";"3.276,00";"241.292,65";""
"12.07.2024";"12.07.2024";"DK  3257668 419320800000 11.07";"";"677,00";"241.969,65";""
"12.07.2024";"12.07.2024";"LS 46868 THAI FRESH IMPORT/EKSPORT";"";"-3.865,00";"238.104,65";""
"12.07.2024";"12.07.2024";"Overførsel                          -SE MEDD.";"";"13.384,55";"251.489,20";""
"12.07.2024";"12.07.2024";"Nets 0163 8822884                   -SE MEDD.";"";"3.418,90";"254.908,10";""
"12.07.2024";"12.07.2024";"Mealo: 20939                        -SE MEDD.";"";"26.532,86";"281.440,96";""
"12.07.2024";"12.07.2024";"Feriepenge";"";"-9.446,27";"271.994,69";""
"15.07.2024";"15.07.2024";"VD 00072 INCO CC GLOSTRUP A/S";"";"-3.339,81";"268.654,88";""
"15.07.2024";"15.07.2024";"DK  3257668 108645144050 12.07";"";"4.016,00";"272.670,88";""
"15.07.2024";"15.07.2024";"LS 41033 ESMILEY A/S";"";"-1.236,38";"271.434,50";""
"15.07.2024";"15.07.2024";"Kosan Gas";"";"-1.498,76";"269.935,74";""
"15.07.2024";"15.07.2024";"DK  3257668 108645144250 13.07";"";"3.639,00";"273.574,74";""
"15.07.2024";"15.07.2024";"DK  3257668 108645144450 14.07";"";"3.534,00";"277.108,74";""
"15.07.2024";"15.07.2024";"DK  3257668 419520800000 13.07";"";"2.287,00";"279.395,74";""
"15.07.2024";"15.07.2024";"DK  3257668 419620800000 14.07";"";"1.125,00";"280.520,74";""
"16.07.2024";"16.07.2024";"Nets 0164 8822884                   -SE MEDD.";"";"3.415,91";"283.936,65";""
"16.07.2024";"16.07.2024";"Nets 0165 8822884                   -SE MEDD.";"";"3.081,41";"287.018,06";""
"16.07.2024";"16.07.2024";"NETS terminalleje 149";"";"-1.046,25";"285.971,81";""
"16.07.2024";"16.07.2024";"Abak kloak 122780";"";"-1.383,75";"284.588,06";""
"17.07.2024";"17.07.2024";"Vision Watercare 10096007";"";"-838,00";"283.750,06";""
"17.07.2024";"17.07.2024";"DK  3257668 108645144750 16.07";"";"3.215,50";"286.965,56";""
"17.07.2024";"17.07.2024";"Nets 0166 8822884                   -SE MEDD.";"";"6.415,04";"293.380,60";""
"18.07.2024";"18.07.2024";"Gastropoint Kølerum 3529";"";"-48.125,00";"245.255,60";""
"18.07.2024";"18.07.2024";"Overførsel                          -SE MEDD.";"";"13.523,65";"258.779,25";""
"18.07.2024";"18.07.2024";"DK  3257668 108645144950 17.07";"";"2.853,00";"261.632,25";""
"18.07.2024";"18.07.2024";"DK  3257668 419920800000 17.07";"";"1.422,00";"263.054,25";""
"18.07.2024";"18.07.2024";"LS 46868 THAI FRESH IMPORT/EKSPORT";"";"-10.228,75";"252.825,50";""
"18.07.2024";"18.07.2024";"Nets 0167 8822884                   -SE MEDD.";"";"4.199,90";"257.025,40";""
"18.07.2024";"18.07.2024";"VD 00086 INCO CC GLOSTRUP A/S";"";"-4.568,69";"252.456,71";""
"19.07.2024";"19.07.2024";"DK  3257668 108645145150 18.07";"";"3.153,00";"255.609,71";""
"19.07.2024";"19.07.2024";"DK  3257668 420020800000 18.07";"";"1.191,00";"256.800,71";""
"19.07.2024";"19.07.2024";"LS 46868 THAI FRESH IMPORT/EKSPORT";"";"-4.242,50";"252.558,21";""
"19.07.2024";"19.07.2024";"Nets 0168 8822884                   -SE MEDD.";"";"1.614,60";"254.172,81";""
"19.07.2024";"19.07.2024";"Mealo: 21136                        -SE MEDD.";"";"26.124,01";"280.296,82";""
"22.07.2024";"22.07.2024";"1 Hastebestilling af kort";"";"-300,00";"279.996,82";""
"22.07.2024";"22.07.2024";"DK  3257668 108645145350 19.07";"";"2.396,00";"282.392,82";""
"22.07.2024";"22.07.2024";"DK  3257668 420120800000 19.07";"";"343,00";"282.735,82";""
"22.07.2024";"22.07.2024";"Til 6695 1004411923 Østfeldt Trad";"";"-3.400,00";"279.335,82";""
"22.07.2024";"22.07.2024";"DK  3257668 108645145550 20.07";"";"1.034,00";"280.369,82";""
"22.07.2024";"22.07.2024";"DK  3257668 108645145750 21.07";"";"365,00";"280.734,82";""
"22.07.2024";"22.07.2024";"DK  3257668 420220800000 20.07";"";"966,00";"281.700,82";""
"22.07.2024";"22.07.2024";"DK  3257668 420320800000 21.07";"";"422,00";"282.122,82";""
"22.07.2024";"22.07.2024";"VD 00001 INCO CC GLOSTRUP A/S";"";"-2.049,08";"280.073,74";""
"23.07.2024";"23.07.2024";"Overførsel                          -SE MEDD.";"";"17.135,20";"297.208,94";""
"23.07.2024";"23.07.2024";"Nets 0169 8822884                   -SE MEDD.";"";"3.256,11";"300.465,05";""
"23.07.2024";"23.07.2024";"Nets 0170 8822884                   -SE MEDD.";"";"4.917,48";"305.382,53";""
"23.07.2024";"23.07.2024";"VD 00002 CINCO KOBENHAVN APS";"";"-1.420,00";"303.962,53";""
"24.07.2024";"24.07.2024";"LS 21865 CARLSBERG DANMARK A/S";"";"-5.916,18";"298.046,35";""
"24.07.2024";"24.07.2024";"DK  3257668 108645146050 23.07";"";"2.066,00";"300.112,35";""
"24.07.2024";"24.07.2024";"Nets 0171 8822884                   -SE MEDD.";"";"7.069,09";"307.181,44";""
"25.07.2024";"25.07.2024";"DK  3257668 108645146250 24.07";"";"3.788,00";"310.969,44";""
"25.07.2024";"25.07.2024";"DK  3257668 420620800000 24.07";"";"278,00";"311.247,44";""
"25.07.2024";"25.07.2024";"LS 46868 THAI FRESH IMPORT/EKSPORT";"";"-4.456,50";"306.790,94";""
"25.07.2024";"25.07.2024";"Nets 0172 8822884                   -SE MEDD.";"";"2.887,06";"309.678,00";""
"26.07.2024";"26.07.2024";"LS 46868 THAI FRESH IMPORT/EKSPORT";"";"-10.082,00";"299.596,00";""
"26.07.2024";"26.07.2024";"Mealo: 21328                        -SE MEDD.";"";"24.587,17";"324.183,17";""
"26.07.2024";"26.07.2024";"Nets 0173 8822884                   -SE MEDD.";"";"2.390,89";"326.574,06";""
"29.07.2024";"29.07.2024";"Overførsel                          -SE MEDD.";"";"9.584,90";"336.158,96";""
"29.07.2024";"29.07.2024";"Wolt Danmark DRIVE";"";"-3.095,00";"333.063,96";""
"29.07.2024";"29.07.2024";"BS VERISURE A/S";"";"-461,00";"332.602,96";""
"30.07.2024";"30.07.2024";"Løn";"";"-90.412,40";"242.190,56";""
"30.07.2024";"30.07.2024";"Overførsel";"";"-213,51";"241.977,05";""
"31.07.2024";"31.07.2024";"Omkostninger, Netbank og Mobilbank";"";"-2,00";"241.975,05";""
"31.07.2024";"31.07.2024";"1 Visa Debit, årlig kortbetaling";"";"-150,00";"241.825,05";""
"31.07.2024";"31.07.2024";"Fra Tania Damsgaard                 -SE MEDD.";"";"250,00";"242.075,05";""
"01.08.2024";"01.08.2024";"BS REMONDIS A/S";"";"-3.454,69";"238.620,36";""
"01.08.2024";"01.08.2024";"BS ONLINEPOS APS";"";"-2.061,25";"236.559,11";""
"01.08.2024";"01.08.2024";"BS NRGI ELHANDEL A/S";"";"-10.453,78";"226.105,33";""
"01.08.2024";"01.08.2024";"BS EJD. 643 TAASTRUP HOVEDGADE 64";"";"-36.389,19";"189.716,14";""
"01.08.2024";"01.08.2024";"LS 46868 THAI FRESH IMPORT/EKSPORT";"";"-2.493,75";"187.222,39";""
"02.08.2024";"04.05.2024";"Visa Debit, årlig kortbetaling";"";"92,88";"187.315,27";""
"02.08.2024";"02.08.2024";"Mealo: 21526                        -SE MEDD.";"";"2.848,75";"190.164,02";""
"05.08.2024";"05.08.2024";"LS 47422 DAKA DENMARK A/S";"";"-679,43";"189.484,59";""
"05.08.2024";"05.08.2024";"Henri Lee";"";"-2.800,00";"186.684,59";""
"06.08.2024";"06.08.2024";"Henri Gordon Lee -1.378,62 EUR kurs: 748,360000";"";"-10.317,04";"176.367,55";""
"07.08.2024";"07.08.2024";"PBS DK Abon 3257668 010724-310724";"";"-315,90";"176.051,65";""
"07.08.2024";"07.08.2024";"DK  3257668 108645147650 06.08";"";"1.569,00";"177.620,65";""
"08.08.2024";"08.08.2024";"DK  3257668 108645147950 07.08";"";"5.993,00";"183.613,65";""
"08.08.2024";"08.08.2024";"Nets 0174 8822884                   -SE MEDD.";"";"3.664,82";"187.278,47";""
"09.08.2024";"09.08.2024";"DK  3257668 108645148150 08.08";"";"1.097,00";"188.375,47";""
"09.08.2024";"09.08.2024";"DK  3257668 422120800000 08.08";"";"1.311,00";"189.686,47";""
"09.08.2024";"09.08.2024";"Nets 0175 8822884                   -SE MEDD.";"";"5.815,35";"195.501,82";""
"09.08.2024";"09.08.2024";"Mealo: 21726                        -SE MEDD.";"";"2.729,65";"198.231,47";""
"12.08.2024";"12.08.2024";"Afdrag lån Jarvinen";"";"-10.000,00";"188.231,47";""
"12.08.2024";"12.08.2024";"DK  3257668 108645148350 09.08";"";"3.405,00";"191.636,47";""
"12.08.2024";"12.08.2024";"DK  3257668 422220800000 09.08";"";"1.677,00";"193.313,47";""
"12.08.2024";"12.08.2024";"DK  3257668 108645148550 10.08";"";"4.761,00";"198.074,47";""
"12.08.2024";"12.08.2024";"DK  3257668 108645148750 11.08";"";"970,00";"199.044,47";""
"12.08.2024";"12.08.2024";"DK  3257668 422320800000 10.08";"";"185,00";"199.229,47";""
"12.08.2024";"12.08.2024";"DK  3257668 422420800000 11.08";"";"1.639,00";"200.868,47";""
"12.08.2024";"12.08.2024";"A-skat";"";"-39.246,00";"161.622,47";""
"13.08.2024";"13.08.2024";"Overførsel                          -SE MEDD.";"";"14.853,70";"176.476,17";""
"13.08.2024";"13.08.2024";"Nets 0176 8822884                   -SE MEDD.";"";"5.430,00";"181.906,17";""
"13.08.2024";"13.08.2024";"Nets 0177 8822884                   -SE MEDD.";"";"3.692,69";"185.598,86";""
"14.08.2024";"14.08.2024";"DK  3257668 108645149050 13.08";"";"1.920,00";"187.518,86";""
"14.08.2024";"14.08.2024";"DK  3257668 422620800000 13.08";"";"861,00";"188.379,86";""
"14.08.2024";"14.08.2024";"Nets 0178 8822884                   -SE MEDD.";"";"6.402,01";"194.781,87";""
"14.08.2024";"14.08.2024";"Feriepenge";"";"-8.984,80";"185.797,07";""
"15.08.2024";"15.08.2024";"Kosan Gas";"";"-1.498,76";"184.298,31";""
"15.08.2024";"15.08.2024";"Securitas Dansk Brandteknik";"";"-1.040,78";"183.257,53";""
"15.08.2024";"15.08.2024";"DK  3257668 108645149250 14.08";"";"6.592,00";"189.849,53";""
"15.08.2024";"15.08.2024";"DK  3257668 422720800000 14.08";"";"348,00";"190.197,53";""
"15.08.2024";"15.08.2024";"LS 46868 THAI FRESH IMPORT/EKSPORT";"";"-11.126,00";"179.071,53";""
"15.08.2024";"15.08.2024";"Nets 0179 8822884                   -SE MEDD.";"";"675,24";"179.746,77";""
"15.08.2024";"15.08.2024";"VD 00003 INCO CC GLOSTRUP A/S";"";"-6.109,76";"173.637,01";""
"16.08.2024";"16.08.2024";"DK  3257668 108645149450 15.08";"";"2.225,00";"175.862,01";""
"16.08.2024";"16.08.2024";"DK  3257668 422820800000 15.08";"";"300,00";"176.162,01";""
"16.08.2024";"16.08.2024";"Nets 0180 8822884                   -SE MEDD.";"";"5.072,25";"181.234,26";""
"16.08.2024";"16.08.2024";"AB Tingstad Papper                  -SE MEDD.";"";"-6.140,00";"175.094,26";""
"16.08.2024";"16.08.2024";"Maxigastro 2204-MGRM";"";"-4.123,13";"170.971,13";""
"19.08.2024";"19.08.2024";"Overførsel                          -SE MEDD.";"";"12.488,55";"183.459,68";""
"19.08.2024";"19.08.2024";"Mealo: 21928                        -SE MEDD.";"";"25.114,77";"208.574,45";""
"19.08.2024";"19.08.2024";"DK  3257668 108645149650 16.08";"";"3.119,00";"211.693,45";""
"19.08.2024";"19.08.2024";"DK  3257668 422920800000 16.08";"";"1.003,00";"212.696,45";""
"19.08.2024";"19.08.2024";"LS 46868 THAI FRESH IMPORT/EKSPORT";"";"-9.244,50";"203.451,95";""
"19.08.2024";"19.08.2024";"DK  3257668 108645149850 17.08";"";"1.980,00";"205.431,95";""
"19.08.2024";"19.08.2024";"DK  3257668 108645150050 18.08";"";"2.154,00";"207.585,95";""
"19.08.2024";"19.08.2024";"DK  3257668 423020800000 17.08";"";"362,00";"207.947,95";""
"19.08.2024";"19.08.2024";"DK  3257668 423120800000 18.08";"";"551,00";"208.498,95";""
"19.08.2024";"19.08.2024";"Henri Lee - Inco 8/8";"";"-3.383,01";"205.115,94";""
"19.08.2024";"19.08.2024";"VD 00004 INCO CC GLOSTRUP A/S";"";"-2.443,19";"202.672,75";""
"20.08.2024";"20.08.2024";"Nets 0181 8822884                   -SE MEDD.";"";"1.718,40";"204.391,15";""
"20.08.2024";"20.08.2024";"Nets 0182 8822884                   -SE MEDD.";"";"3.828,65";"208.219,80";""
"21.08.2024";"21.08.2024";"DK  3257668 108645150350 20.08";"";"2.450,00";"210.669,80";""
"21.08.2024";"21.08.2024";"DK  3257668 423320800000 20.08";"";"529,00";"211.198,80";""
"21.08.2024";"21.08.2024";"Nets 0183 8822884                   -SE MEDD.";"";"9.711,49";"220.910,29";""
"22.08.2024";"22.08.2024";"DK  3257668 108645150550 21.08";"";"3.690,00";"224.600,29";""
"22.08.2024";"22.08.2024";"DK  3257668 423420800000 21.08";"";"1.011,00";"225.611,29";""
"22.08.2024";"22.08.2024";"Overførsel                          -SE MEDD.";"";"15.743,60";"241.354,89";""
"22.08.2024";"22.08.2024";"Nets 0184 8822884                   -SE MEDD.";"";"3.257,22";"244.612,11";""
"22.08.2024";"22.08.2024";"VD 00005 INCO CC GLOSTRUP A/S";"";"-2.034,23";"242.577,88";""
"23.08.2024";"23.08.2024";"DK  3257668 108645150750 22.08";"";"3.581,00";"246.158,88";""
"23.08.2024";"23.08.2024";"DK  3257668 423520800000 22.08";"";"712,00";"246.870,88";""
"23.08.2024";"23.08.2024";"LS 46868 THAI FRESH IMPORT/EKSPORT";"";"-7.972,75";"238.898,13";""
"23.08.2024";"23.08.2024";"Nets 0185 8822884                   -SE MEDD.";"";"3.613,54";"242.511,67";""
"23.08.2024";"23.08.2024";"Mealo: 22130                        -SE MEDD.";"";"26.042,03";"268.553,70";""
"23.08.2024";"23.08.2024";"VD 00006 Elgiganten Taastrup";"";"-7.299,01";"261.254,69";""
"26.08.2024";"26.08.2024";"VD 00007 INCO CC GLOSTRUP A/S";"";"-2.804,60";"258.450,09";""
"26.08.2024";"26.08.2024";"DK  3257668 108645150950 23.08";"";"5.555,00";"264.005,09";""
"26.08.2024";"26.08.2024";"DK  3257668 423620800000 23.08";"";"400,00";"264.405,09";""
"26.08.2024";"26.08.2024";"LS 44733 DERMAN PACK APS";"";"-3.195,00";"261.210,09";""
"26.08.2024";"26.08.2024";"LS 46868 THAI FRESH IMPORT/EKSPORT";"";"-10.560,25";"250.649,84";""
"26.08.2024";"26.08.2024";"DK  3257668 108645151150 24.08";"";"1.913,00";"252.562,84";""
"26.08.2024";"26.08.2024";"DK  3257668 108645151350 25.08";"";"3.411,00";"255.973,84";""
"27.08.2024";"27.08.2024";"Overførsel                          -SE MEDD.";"";"14.593,45";"270.567,29";""
"27.08.2024";"27.08.2024";"Nets 0186 8822884                   -SE MEDD.";"";"3.043,33";"273.610,62";""
"27.08.2024";"27.08.2024";"Nets 0187 8822884                   -SE MEDD.";"";"4.458,53";"278.069,15";""
"28.08.2024";"28.08.2024";"BS VERISURE A/S";"";"-461,00";"277.608,15";""
"28.08.2024";"28.08.2024";"DK  3257668 108645151650 27.08";"";"4.067,00";"281.675,15";""
"28.08.2024";"28.08.2024";"DK  3257668 424020800000 27.08";"";"632,00";"282.307,15";""
"28.08.2024";"28.08.2024";"Nets 0188 8822884                   -SE MEDD.";"";"5.619,39";"287.926,54";""
"29.08.2024";"29.08.2024";"Wolt Danmark DRIVE";"";"-1.717,50";"286.209,04";""
"29.08.2024";"29.08.2024";"LS 21865 CARLSBERG DANMARK A/S";"";"-37,50";"286.171,54";""
"29.08.2024";"29.08.2024";"DK  3257668 108645151850 28.08";"";"657,00";"286.828,54";""
"29.08.2024";"29.08.2024";"LS 46868 THAI FRESH IMPORT/EKSPORT";"";"-6.876,50";"279.952,04";""
"29.08.2024";"29.08.2024";"Nets 0189 8822884                   -SE MEDD.";"";"6.750,06";"286.702,10";""
"29.08.2024";"29.08.2024";"VD 00008 INCO CC GLOSTRUP A/S";"";"-2.914,70";"283.787,40";""
"29.08.2024";"29.08.2024";"Løn";"";"-78.532,40";"205.255,00";""
"29.08.2024";"29.08.2024";"Overførsel";"";"-240,10";"205.014,90";""
"30.08.2024";"30.08.2024";"Omkostninger, Netbank og Mobilbank";"";"-6,00";"205.008,90";""
"30.08.2024";"30.08.2024";"DK  3257668 108645152050 29.08";"";"1.628,00";"206.636,90";""
"30.08.2024";"30.08.2024";"DK  3257668 424220800000 29.08";"";"709,50";"207.346,40";""
"30.08.2024";"30.08.2024";"Fra Tania Damsgaard                 -SE MEDD.";"";"250,00";"207.596,40";""
"30.08.2024";"30.08.2024";"Nets 0190 8822884                   -SE MEDD.";"";"2.932,65";"210.529,05";""
"30.08.2024";"30.08.2024";"Mealo: 22335                        -SE MEDD.";"";"25.314,87";"235.843,92";""
"02.09.2024";"02.09.2024";"VD 00009 INCO CC GLOSTRUP A/S";"";"-4.091,83";"231.752,09";""
"02.09.2024";"02.09.2024";"Philipson Wine";"";"-2.649,50";"229.102,59";""
"02.09.2024";"02.09.2024";"BS REMONDIS A/S";"";"-4.492,84";"224.609,75";""
"02.09.2024";"02.09.2024";"BS TELENOR A/S";"";"-291,21";"224.318,54";""
"02.09.2024";"02.09.2024";"BS ONLINEPOS APS";"";"-2.061,25";"222.257,29";""
"02.09.2024";"02.09.2024";"BS NRGI ELHANDEL A/S";"";"-8.967,54";"213.289,75";""
"02.09.2024";"02.09.2024";"BS EJD. 643 TAASTRUP HOVEDGADE 64";"";"-36.389,19";"176.900,56";""
